,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
F.5,29,0.609,0.6193,0.5761,0.5518,0.5768,0.555,0.56,0.5643
F2,C,0.4796,0.5228,0.4739,0.6621,0.5339,0.6946,0.7188,0.6851
Gmean,S,0.6409,0.6467,0.6292,0.6966,0.6772,0.7842,0.7973,0.7794
B_Acc,V,0.7,0.7224,0.6975,0.753,0.7213,0.7881,0.8048,0.7846
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9661,0.9661,0.9776,0.9775,0.9907,0.9737,0.9718,0.9887
F1,S,0.8347,0.824,0.834,0.9023,0.9527,0.8839,0.8797,0.9328
F.5,30,0.8476,0.8495,0.8622,0.8801,0.9569,0.8663,0.8637,0.9696
F2,C,0.8404,0.8162,0.812,0.9277,0.949,0.9059,0.9029,0.9033
Gmean,S,0.9067,0.8898,0.8447,0.9625,0.9693,0.9497,0.9486,0.938
B_Acc,V,0.9162,0.9017,0.8989,0.9639,0.9713,0.9512,0.9501,0.9433
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9019,0.9,0.9111,0.9296,0.8963,0.8815,0.9019,0.9111
F1,S,0.04,0.313,0.359,0.6292,0.3969,0.426,0.4616,0.5119
F.5,31,0.0625,0.3098,0.4001,0.61,0.4284,0.3969,0.4561,0.5019
F2,C,0.02941,0.3233,0.3426,0.6738,0.4018,0.4806,0.4918,0.5446
Gmean,S,0.05,0.4623,0.4649,0.8135,0.5765,0.6546,0.6522,0.7165
B_Acc,V,0.5045,0.6443,0.6528,0.8372,0.6807,0.7264,0.7311,0.7617
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8712,0.8677,0.8694,0.5619,0.8407,0.6691,0.6047,0.6226
F1,S,0.2133,0.1689,0.1911,0.3877,0.3178,0.4224,0.3967,0.4073
F.5,32,0.375,0.2917,0.3333,0.2946,0.4209,0.328,0.2973,0.3071
F2,C,0.1497,0.1194,0.1346,0.5726,0.2896,0.5954,0.5965,0.6056
Gmean,S,0.3321,0.2614,0.2967,0.5843,0.4597,0.726,0.7064,0.7179
B_Acc,V,0.5604,0.5479,0.5542,0.6923,0.6154,0.734,0.7277,0.7381
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9324,0.936,0.9415,0.9681,0.9574,0.9574,0.9504,0.9538
F1,S,0.7722,0.7977,0.7514,0.888,0.8483,0.8579,0.8419,0.8453
F.5,33,0.8191,0.8221,0.8197,0.943,0.9168,0.9022,0.8862,0.8865
F2,C,0.7376,0.7815,0.7,0.8445,0.7945,0.824,0.8108,0.8132
Gmean,S,0.8321,0.8623,0.7715,0.9005,0.868,0.8886,0.8795,0.8816
B_Acc,V,0.8467,0.8713,0.834,0.9089,0.8801,0.8964,0.8882,0.8903
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9719,0.9684,0.9825,0.9825,0.9613,0.9737,0.9719,0.9701
F1,S,0.9608,0.9559,0.9756,0.975,0.9425,0.9639,0.9617,0.9593
F.5,34,0.9751,0.9704,0.987,0.9864,0.9753,0.9686,0.9678,0.9667
F2,C,0.9473,0.9424,0.9647,0.9643,0.9136,0.9599,0.9563,0.9525
Gmean,S,0.9645,0.9606,0.9771,0.9768,0.9453,0.9699,0.9676,0.9653
B_Acc,V,0.9652,0.9614,0.9775,0.9774,0.9481,0.9704,0.9681,0.9657
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.7136,0.7222,0.7394,0.6484,0.6673,0.5952,0.6142,0.6432
F1,S,0.1314,0.1205,0.2881,0.5979,0.5546,0.5717,0.5819,0.5928
F.5,35,0.2244,0.2041,0.4108,0.4963,0.4869,0.4633,0.4748,0.4916
F2,C,0.09335,0.08639,0.226,0.7525,0.6449,0.7469,0.7517,0.7469
Gmean,S,0.2427,0.2015,0.4016,0.702,0.6816,0.6541,0.6725,0.6967
B_Acc,V,0.5236,0.528,0.5777,0.7265,0.6842,0.6983,0.7097,0.7211
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9005,0.9073,0.9494,0.9647,0.9376,0.936,0.9394,0.9342
F1,S,0.844,0.8508,0.9204,0.9471,0.8989,0.9013,0.9055,0.8982
F.5,36,0.843,0.8625,0.922,0.9426,0.9116,0.895,0.9037,0.9
F2,C,0.848,0.8415,0.9203,0.9531,0.8891,0.9092,0.9081,0.8983
Gmean,S,0.8849,0.8856,0.9408,0.9626,0.921,0.9295,0.931,0.9239
B_Acc,V,0.8877,0.8886,0.942,0.9629,0.9236,0.9306,0.9316,0.925
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,1,1,1,1,1,1,1,1
F1,S,1,1,1,1,1,1,1,1
F.5,37,1,1,1,1,1,1,1,1
F2,C,1,1,1,1,1,1,1,1
Gmean,S,1,1,1,1,1,1,1,1
B_Acc,V,1,1,1,1,1,1,1,1
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.89,0.8933,0.8933,0.8917,0.8949,0.8589,0.8999,0.8655
F1,S,0.8472,0.8458,0.8433,0.8572,0.8332,0.8372,0.8771,0.8399
F.5,38,0.86,0.8804,0.8801,0.8446,0.9158,0.7723,0.8329,0.7893
