,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Gmean,S,0.873,0.8816,0.9428,0.9871,0.9923,0.9871,0.99,0.9899,0.9888
B_Acc,V,0.8818,0.8893,0.9452,0.9875,0.9926,0.9875,0.9902,0.9902,0.989
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9068,0.9068,0.8988,0.9068,0.8689,0.8868,0.7379,0.7479,0.706
F1,S,0,0,0,0,0.4264,0.3442,0.2913,0.3014,0.2807
F.5,28,0,0,0,0,0.3792,0.3224,0.2224,0.2312,0.2111
F2,C,0,0,0,0,0.4966,0.3721,0.4268,0.4365,0.423
Gmean,S,0,0,0,0,0.6799,0.4932,0.6593,0.6655,0.653
B_Acc,V,0.5,0.5,0.4957,0.5,0.7332,0.6668,0.6902,0.6957,0.6815
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8467,0.8448,0.8449,0.8354,0.8256,0.8258,0.7664,0.7836,0.7817
F1,S,0.482,0.4857,0.5015,0.4547,0.6039,0.4835,0.5801,0.5806,0.5857
F.5,29,0.602,0.6071,0.604,0.5639,0.5762,0.5229,0.4994,0.5147,0.5158
F2,C,0.4064,0.4082,0.433,0.3857,0.6395,0.4609,0.6947,0.668,0.6799
Gmean,S,0.5807,0.5886,0.6066,0.5609,0.7539,0.6157,0.7748,0.764,0.7707
B_Acc,V,0.6689,0.6681,0.6786,0.6554,0.767,0.6861,0.7797,0.7687,0.7746
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9002,0.9002,0.9661,0.9585,0.9492,0.9548,0.9321,0.9283,0.904
F1,S,0.0619,0.0619,0.7913,0.7731,0.7392,0.7586,0.7309,0.7196,0.6747
F.5,30,0.1056,0.1056,0.8384,0.7834,0.7452,0.7972,0.6614,0.6467,0.5813
F2,C,0.04381,0.04381,0.7598,0.7695,0.7506,0.732,0.8227,0.8168,0.8105
Gmean,S,0.08555,0.08555,0.8402,0.8542,0.8486,0.8333,0.9129,0.9107,0.9183
B_Acc,V,0.5183,0.5183,0.8675,0.8745,0.8676,0.8505,0.9191,0.917,0.9212
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9148,0.9148,0.9074,0.9111,0.8778,0.9093,0.8241,0.8167,0.7907
F1,S,0,0,0.2067,0.025,0.4038,0.3123,0.4166,0.4311,0.401
F.5,31,0,0,0.29,0.02941,0.3834,0.3752,0.3346,0.341,0.312
F2,C,0,0,0.167,0.02174,0.441,0.2735,0.5599,0.5926,0.5686
Gmean,S,0,0,0.2662,0.0438,0.6492,0.4377,0.7769,0.8067,0.7914
B_Acc,V,0.5,0.5,0.5639,0.507,0.6975,0.6124,0.7861,0.8115,0.7972
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8622,0.8622,0.864,0.8676,0.6601,0.8569,0.6172,0.6458,0.6208
F1,S,0.1111,0.1111,0.1533,0.1756,0.3772,0.2729,0.4099,0.4011,0.405
F.5,32,0.2083,0.2083,0.2812,0.3229,0.2938,0.3732,0.3074,0.3069,0.3048
F2,C,0.07576,0.07576,0.1056,0.1208,0.531,0.2225,0.6151,0.5792,0.6039
Gmean,S,0.1768,0.1768,0.2471,0.2825,0.6766,0.4059,0.7225,0.7099,0.7166
B_Acc,V,0.5292,0.5292,0.5406,0.5479,0.6923,0.5832,0.7454,0.7205,0.7371
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9253,0.927,0.9199,0.9288,0.9324,0.927,0.8149,0.854,0.8131
